datetime,site_name,pm25_value
2025-08-15 08:00:00+00:00,Arepo (Ogun State),12.31
2025-08-15 09:00:00+00:00,Arepo (Ogun State),14.27
2025-08-15 10:00:00+00:00,Arepo (Ogun State),7.9
2025-08-15 11:00:00+00:00,Arepo (Ogun State),7.11
2025-08-15 12:00:00+00:00,Arepo (Ogun State),19.76
2025-08-15 13:00:00+00:00,Arepo (Ogun State),15.78
2025-08-15 14:00:00+00:00,Arepo (Ogun State),7.08
2025-08-15 15:00:00+00:00,Arepo (Ogun State),3.8
2025-08-15 16:00:00+00:00,Arepo (Ogun State),5.56
2025-08-15 17:00:00+00:00,Arepo (Ogun State),5.35
2025-08-15 18:00:00+00:00,Arepo (Ogun State),7.05
2025-08-15 19:00:00+00:00,Arepo (Ogun State),6.55
2025-08-15 20:00:00+00:00,Arepo (Ogun State),7.18
2025-08-15 21:00:00+00:00,Arepo (Ogun State),7.37
2025-08-15 22:00:00+00:00,Arepo (Ogun State),5.17
2025-08-15 23:00:00+00:00,Arepo (Ogun State),5.65
2025-08-16 00:00:00+00:00,Arepo (Ogun State),5.77
2025-08-16 01:00:00+00:00,Arepo (Ogun State),4.18
2025-08-16 02:00:00+00:00,Arepo (Ogun State),5.47
2025-08-16 03:00:00+00:00,Arepo (Ogun State),3.71
2025-08-16 04:00:00+00:00,Arepo (Ogun State),3.15
2025-08-16 05:00:00+00:00,Arepo (Ogun State),2.75
2025-08-16 06:00:00+00:00,Arepo (Ogun State),3.68
2025-08-16 07:00:00+00:00,Arepo (Ogun State),6.94
2025-08-16 08:00:00+00:00,Arepo (Ogun State),6.2
2025-08-16 09:00:00+00:00,Arepo (Ogun State),4.54
2025-08-16 10:00:00+00:00,Arepo (Ogun State),5.59
2025-08-16 11:00:00+00:00,Arepo (Ogun State),4.98
2025-08-16 12:00:00+00:00,Arepo (Ogun State),7.06
2025-08-16 13:00:00+00:00,Arepo (Ogun State),7.56
2025-08-16 14:00:00+00:00,Arepo (Ogun State),5.03
2025-08-16 15:00:00+00:00,Arepo (Ogun State),4.77
2025-08-16 16:00:00+00:00,Arepo (Ogun State),5.1
2025-08-16 17:00:00+00:00,Arepo (Ogun State),11.44
2025-08-16 18:00:00+00:00,Arepo (Ogun State),6.22
2025-08-16 19:00:00+00:00,Arepo (Ogun State),18.76
2025-08-16 20:00:00+00:00,Arepo (Ogun State),12.94
2025-08-16 21:00:00+00:00,Arepo (Ogun State),10.24
2025-08-16 22:00:00+00:00,Arepo (Ogun State),6.73
2025-08-16 23:00:00+00:00,Arepo (Ogun State),5.4
2025-08-17 00:00:00+00:00,Arepo (Ogun State),5.06
